index;subindex;description;type;access;rxPDO;txPDO;c_identifier;setter;getter;ctype
0x1A02;0x3;3rd Mapped Object in TxPDO 3;UNSIGNED32;RW;0;0;_3rd_mapped_object_in_txpdo_3;set_3rd_mapped_object_in_txpdo_3;get_3rd_mapped_object_in_txpdo_3;uint32_t
0x1A02;0x4;4th Mapped Object in TxPDO 3;UNSIGNED32;RW;0;0;_4th_mapped_object_in_txpdo_3;set_4th_mapped_object_in_txpdo_3;get_4th_mapped_object_in_txpdo_3;uint32_t
0x1A02;0x5;5th Mapped Object in TxPDO 3;UNSIGNED32;RW;0;0;_5th_mapped_object_in_txpdo_3;set_5th_mapped_object_in_txpdo_3;get_5th_mapped_object_in_txpdo_3;uint32_t
0x1A02;0x6;6th Mapped Object in TxPDO 3;UNSIGNED32;RW;0;0;_6th_mapped_object_in_txpdo_3;set_6th_mapped_object_in_txpdo_3;get_6th_mapped_object_in_txpdo_3;uint32_t
0x1A02;0x7;7th Mapped Object in TxPDO 3;UNSIGNED32;RW;0;0;_7th_mapped_object_in_txpdo_3;set_7th_mapped_object_in_txpdo_3;get_7th_mapped_object_in_txpdo_3;uint32_t
0x1A02;0x8;8th Mapped Object in TxPDO 3;UNSIGNED32;RW;0;0;_8th_mapped_object_in_txpdo_3;set_8th_mapped_object_in_txpdo_3;get_8th_mapped_object_in_txpdo_3;uint32_t
0x1A03;0x0;Number of Mapped Application Objects in TxPDO 4;UNSIGNED8;RW;0;0;number_of_mapped_application_objects_in_txpdo_4;set_number_of_mapped_application_objects_in_txpdo_4;get_number_of_mapped_application_objects_in_txpdo_4;uint8_t
0x1A03;0x1;1st Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_1st_mapped_object_in_txpdo_4;set_1st_mapped_object_in_txpdo_4;get_1st_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x2;2nd Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_2nd_mapped_object_in_txpdo_4;set_2nd_mapped_object_in_txpdo_4;get_2nd_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x3;3rd Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_3rd_mapped_object_in_txpdo_4;set_3rd_mapped_object_in_txpdo_4;get_3rd_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x4;4th Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_4th_mapped_object_in_txpdo_4;set_4th_mapped_object_in_txpdo_4;get_4th_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x5;5th Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_5th_mapped_object_in_txpdo_4;set_5th_mapped_object_in_txpdo_4;get_5th_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x6;6th Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_6th_mapped_object_in_txpdo_4;set_6th_mapped_object_in_txpdo_4;get_6th_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x7;7th Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_7th_mapped_object_in_txpdo_4;set_7th_mapped_object_in_txpdo_4;get_7th_mapped_object_in_txpdo_4;uint32_t
0x1A03;0x8;8th Mapped Object in TxPDO 4;UNSIGNED32;RW;0;0;_8th_mapped_object_in_txpdo_4;set_8th_mapped_object_in_txpdo_4;get_8th_mapped_object_in_txpdo_4;uint32_t
0x2000;0x0;Node ID;UNSIGNED8;RW;0;0;node_id;set_node_id;get_node_id;uint8_t
0x2001;0x0;CAN Bitrate;UNSIGNED16;RW;0;0;can_bitrate;set_can_bitrate;get_can_bitrate;uint16_t
0x2002;0x0;RS232 Baudrate;UNSIGNED16;RW;0;0;rs232_baudrate;set_rs232_baudrate;get_rs232_baudrate;uint16_t
0x2003;0x0;Internal Number of Entries (5);UNSIGNED8;RO;0;0;internal_number_of_entries_5;NA;get_internal_number_of_entries_5;uint8_t
0x2003;0x1;Software Version;UNSIGNED16;RO;0;0;software_version;NA;get_software_version;uint16_t
0x2003;0x2;Hardware Version;UNSIGNED16;RO;0;0;hardware_version;NA;get_hardware_version;uint16_t
0x2003;0x3;Application Number;UNSIGNED16;RO;0;0;application_number;NA;get_application_number;uint16_t
0x2003;0x4;Application Version;UNSIGNED16;RO;0;0;application_version;NA;get_application_version;uint16_t
0x2003;0x5;Basesector Version;UNSIGNED16;RO;0;0;basesector_version;NA;get_basesector_version;uint16_t
0x2004;0x0;Serial Number (2);UNSIGNED64;CONST;0;0;serial_number_2;NA;get_serial_number_2;uint64_t
0x2005;0x0;RS232 Frame Timeout;UNSIGNED16;RW;0;0;rs232_frame_timeout;set_rs232_frame_timeout;get_rs232_frame_timeout;uint16_t
0x2006;0x0;USB Frame Timeout;UNSIGNED16;RW;0;0;usb_frame_timeout;set_usb_frame_timeout;get_usb_frame_timeout;uint16_t
0x2008;0x0;Miscellaneous Configuration;UNSIGNED16;RW;0;0;miscellaneous_configuration;set_miscellaneous_configuration;get_miscellaneous_configuration;uint16_t
0x2009;0x0;Internal Dip Switch State;UNSIGNED16;RO;1;0;internal_dip_switch_state;NA;get_internal_dip_switch_state;uint16_t
0x200A;0x0;CAN Bitrate Display;UNSIGNED16;RO;0;0;can_bitrate_display;NA;get_can_bitrate_display;uint16_t
0x200C;0x0;Internal Number of Entries (6);UNSIGNED8;RO;1;1;internal_number_of_entries_6;NA;get_internal_number_of_entries_6;uint8_t
0x200C;0x1;Custom persistent memory 1;UNSIGNED32;RW;0;0;custom_persistent_memory_1;set_custom_persistent_memory_1;get_custom_persistent_memory_1;uint32_t
0x200C;0x2;Custom persistent memory 2;UNSIGNED32;RW;0;0;custom_persistent_memory_2;set_custom_persistent_memory_2;get_custom_persistent_memory_2;uint32_t
0x200C;0x3;Custom persistent memory 3;UNSIGNED32;RW;0;0;custom_persistent_memory_3;set_custom_persistent_memory_3;get_custom_persistent_memory_3;uint32_t
0x200C;0x4;Custom persistent memory4;UNSIGNED32;RW;0;0;custom_persistent_memory4;set_custom_persistent_memory4;get_custom_persistent_memory4;uint32_t
0x2010;0x0;Internal DataRecorder Control;UNSIGNED16;RW;1;1;internal_datarecorder_control;set_internal_datarecorder_control;get_internal_datarecorder_control;uint16_t
0x2011;0x0;Internal DataRecorder Configuration;UNSIGNED16;RW;0;0;internal_datarecorder_configuration;set_internal_datarecorder_configuration;get_internal_datarecorder_configuration;uint16_t
0x2012;0x0;Internal DataRecorder Sampling Period;UNSIGNED16;RW;0;0;internal_datarecorder_sampling_period;set_internal_datarecorder_sampling_period;get_internal_datarecorder_sampling_period;uint16_t
0x2013;0x0;Internal DataRecorder Number of Preceding Samples;UNSIGNED16;RW;0;0;internal_datarecorder_number_of_preceding_samples;set_internal_datarecorder_number_of_preceding_samples;get_internal_datarecorder_number_of_preceding_samples;uint16_t
0x2014;0x0;Internal DataRecorder Number of Sampling Variables;UNSIGNED16;RW;0;0;internal_datarecorder_number_of_sampling_variables;set_internal_datarecorder_number_of_sampling_variables;get_internal_datarecorder_number_of_sampling_variables;uint16_t
0x2015;0x0;Internal Number of Entries (7);UNSIGNED8;RO;1;1;internal_number_of_entries_7;NA;get_internal_number_of_entries_7;uint8_t
0x2015;0x1;Internal DataRecorder Index of Variable 1;UNSIGNED16;RW;0;0;internal_datarecorder_index_of_variable_1;set_internal_datarecorder_index_of_variable_1;get_internal_datarecorder_index_of_variable_1;uint16_t
0x2015;0x2;Internal DataRecorder Index of Variable 2;UNSIGNED16;RW;0;0;internal_datarecorder_index_of_variable_2;set_internal_datarecorder_index_of_variable_2;get_internal_datarecorder_index_of_variable_2;uint16_t
0x2015;0x3;Internal DataRecorder Index of Variable 3;UNSIGNED16;RW;0;0;internal_datarecorder_index_of_variable_3;set_internal_datarecorder_index_of_variable_3;get_internal_datarecorder_index_of_variable_3;uint16_t
0x2015;0x4;Internal DataRecorder Index of Variable 4;UNSIGNED16;RW;0;0;internal_datarecorder_index_of_variable_4;set_internal_datarecorder_index_of_variable_4;get_internal_datarecorder_index_of_variable_4;uint16_t
0x2016;0x0;Internal Number of Entries (8);UNSIGNED8;RO;1;1;internal_number_of_entries_8;NA;get_internal_number_of_entries_8;uint8_t
0x2016;0x1;Internal DataRecorder SubIndex of Variable 1;UNSIGNED16;RW;0;0;internal_datarecorder_subindex_of_variable_1;set_internal_datarecorder_subindex_of_variable_1;get_internal_datarecorder_subindex_of_variable_1;uint16_t
0x2016;0x2;Internal DataRecorder SubIndex of Variable 2;UNSIGNED16;RW;0;0;internal_datarecorder_subindex_of_variable_2;set_internal_datarecorder_subindex_of_variable_2;get_internal_datarecorder_subindex_of_variable_2;uint16_t
0x2016;0x3;Internal DataRecorder SubIndex of Variable 3;UNSIGNED16;RW;0;0;internal_datarecorder_subindex_of_variable_3;set_internal_datarecorder_subindex_of_variable_3;get_internal_datarecorder_subindex_of_variable_3;uint16_t
0x2016;0x4;Internal DataRecorder SubIndex of Variable 4;UNSIGNED16;RW;0;0;internal_datarecorder_subindex_of_variable_4;set_internal_datarecorder_subindex_of_variable_4;get_internal_datarecorder_subindex_of_variable_4;uint16_t
0x2017;0x0;Internal DataRecorder Status;UNSIGNED16;RO;1;1;internal_datarecorder_status;NA;get_internal_datarecorder_status;uint16_t
0x2018;0x0;Internal DataRecorder Max Number of Samples;UNSIGNED16;RO;1;1;internal_datarecorder_max_number_of_samples;NA;get_internal_datarecorder_max_number_of_samples;uint16_t
0x2019;0x0;Internal DataRecorder Number of Recorded Samples;UNSIGNED16;RO;1;1;internal_datarecorder_number_of_recorded_samples;NA;get_internal_datarecorder_number_of_recorded_samples;uint16_t
0x201A;0x0;Internal DataRecorder Vector Start Offset;UNSIGNED16;RO;1;1;internal_datarecorder_vector_start_offset;NA;get_internal_datarecorder_vector_start_offset;uint16_t
0x201B;0x0;Internal DataRecorder Data Buffer;DOMAIN;RW;1;1;internal_datarecorder_data_buffer;set_internal_datarecorder_data_buffer;get_internal_datarecorder_data_buffer;unknown_t
0x2020;0x0;Incremental Encoder 1 Counter;UNSIGNED32;RO;0;1;incremental_encoder_1_counter;NA;get_incremental_encoder_1_counter;uint32_t
0x2021;0x0;Incremental Encoder 1 Counter at Index Pulse;UNSIGNED32;RO;0;1;incremental_encoder_1_counter_at_index_pulse;NA;get_incremental_encoder_1_counter_at_index_pulse;uint32_t
0x2022;0x0;Hall Sensor Pattern;UNSIGNED16;RO;0;1;hall_sensor_pattern;NA;get_hall_sensor_pattern;uint16_t
0x2023;0x0;Internal Object Actual Rotor Angle;UNSIGNED16;RW;1;1;internal_object_actual_rotor_angle;set_internal_object_actual_rotor_angle;get_internal_object_actual_rotor_angle;uint16_t
0x2024;0x0;Internal System State;UNSIGNED16;RO;1;1;internal_system_state;NA;get_internal_system_state;uint16_t
0x2025;0x0;Internal Object Reserved;UNSIGNED32;WO;1;1;internal_object_reserved;set_internal_object_reserved;NA;uint32_t
0x2026;0x0;Internal Object Number of Entries;UNSIGNED8;RO;1;1;internal_object_number_of_entries;NA;get_internal_object_number_of_entries;uint8_t
0x2026;0x1;Internal Object MemoryAddress;UNSIGNED32;RW;1;1;internal_object_memoryaddress;set_internal_object_memoryaddress;get_internal_object_memoryaddress;uint32_t
0x2026;0x2;Internal Object MemoryValue;UNSIGNED16;RW;1;1;internal_object_memoryvalue;set_internal_object_memoryvalue;get_internal_object_memoryvalue;uint16_t
0x2027;0x0;Current Actual Value Averaged;INTEGER16;RO;0;1;current_actual_value_averaged;NA;get_current_actual_value_averaged;int16_t
0x2028;0x0;Velocity Actual Value Averaged;INTEGER32;RO;0;1;velocity_actual_value_averaged;NA;get_velocity_actual_value_averaged;int32_t
